Cell_ID,X_Coordinate,Y_Coordinate,Assigned_Cell_Type,Assignment_Probability,Is_Top_75_Percent,ROI_Region,In_E_Region,In_MVL_Region
CR158ee290a-5849,22376.454736842104,17378.89947368421,Ex_SATB2_FOXP2,0.0012382349,True,outside,False,False
CR158ee290a-585,8724.606363636363,9616.17090909091,Inh_LGE_like_FOXP2,0.0009867373,True,outside,False,False
CR158ee290a-5850,10570.590714285714,16772.095,Inh_MGE_like_SST_PVALB,0.0006269654,True,e,True,False
CR158ee290a-5851,23276.50117647059,5518.504117647059,Ex_SATB2_SOX6,0.00060256774,True,outside,False,False
CR158ee290a-5852,14117.829090909092,18874.33090909091,Inh_OB_CPA6,0.0009687632,True,outside,False,False
CR158ee290a-5853,4516.155384615385,11426.77923076923,Ex_SATB2_ZNF385B,0.0010879913,True,outside,False,False
CR158ee290a-5854,16081.621428571429,29769.77142857142,Ex_KIAA1217,0.0022137177,True,outside,False,False
CR158ee290a-5855,18221.13909090909,20968.54272727273,Inh_LGE_like_FOXP1_DGKH,0.0012840229,True,outside,False,False
CR158ee290a-5856,21830.575294117647,6773.399411764705,Ex_SATB2_FOXP2,0.00143068,True,outside,False,False
CR158ee290a-5857,31972.857999999997,7665.310999999999,Inh_MGE_like_SST_PVALB,0.0015021849,True,outside,False,False
CR158ee290a-5858,15229.026666666665,12465.913333333334,Ex_SATB2_ZNF385B,0.0032581228,True,outside,False,False
CR158ee290a-5859,16972.047777777778,16318.886666666667,Ex_DACH2_GRIK4,0.0009208628,True,outside,False,False
CR158ee290a-586,31775.767142857145,10582.517857142857,Ex_SATB2_ZNF385B,0.0013751873,True,outside,False,False
CR158ee290a-5860,16328.503333333334,7272.369166666666,Ex_SATB2_SOX6,0.00064987555,True,outside,False,False
CR158ee290a-5861,21767.64285714286,15825.525714285714,Ex_DACH2_ZMAT4,0.0013423597,True,outside,False,False
CR158ee290a-5862,1733.2354545454546,11932.983636363637,Ex_DACH2_GRIK4,0.001981462,True,outside,False,False
CR158ee290a-5863,14133.586923076924,15272.946923076925,Ex_DACH2_GRIK4,0.0047133085,True,outside,False,False
CR158ee290a-5864,17021.235,674.155,Ex_BCL6,0.0028545768,True,outside,False,False
CR158ee290a-5865,24384.61555555556,17622.403333333335,Inh_MGE_like_SST_PVALB,0.00056615303,True,outside,False,False
CR158ee290a-5866,26716.56,8680.307142857144,Ex_DACH2_ADAMTS5,0.001188805,True,outside,False,False
CR158ee290a-5867,17373.189615384614,17121.136153846153,Inh_LGE_like_FOXP2,0.0020561155,True,outside,False,False
CR158ee290a-5868,9969.34,13177.356666666668,Inh_MGE_like_SST_ABI3BP,0.0042321715,True,e,True,False
CR158ee290a-5869,22819.81875,12618.155,Ex_SATB2_ZNF385B,0.0017837381,True,outside,False,False
CR158ee290a-587,16973.325,19266.20142857143,Ex_DACH2_CEMIP,0.00220036,True,outside,False,False
CR158ee290a-5870,19118.925,12326.254,Ex_DACH2_MGAT4C,0.0009857281,True,outside,False,False
CR158ee290a-5871,12071.316666666666,19874.78740740741,Ex_KIAA1217,0.0023487261,True,outside,False,False
CR158ee290a-5872,6673.078571428571,18923.17571428572,Ex_DACH2_ADAMTS5,0.0005851573,True,outside,False,False
CR158ee290a-5873,14266.92705882353,16521.392352941177,Inh_MGE_like_SST_ABI3BP,0.0036459218,True,outside,False,False
CR158ee290a-5874,24564.53933333333,4572.535333333333,Ex_SATB2_OVOA,0.0012105943,True,outside,False,False
CR158ee290a-5875,18725.72333333333,19223.785,Ex_KIAA1217,0.0032646342,True,outside,False,False
CR158ee290a-5876,31931.09,7828.821764705882,Ex_DACH2_ZMAT4,0.0020696016,True,outside,False,False
CR158ee290a-5877,25513.076666666664,9833.265,Ex_BCL6,0.0026839473,True,outside,False,False
CR158ee290a-5878,15777.278125,11727.78875,Ex_DACH2_CEMIP,0.002108825,True,outside,False,False
CR158ee290a-5879,22425.107999999997,11331.027,Ex_KIAA1217,0.0020654718,True,outside,False,False
CR158ee290a-588,30376.875,8168.333,Inh_LGE_like_FOXP2,0.0013593587,True,outside,False,False
CR158ee290a-5880,12671.283333333333,15627.179166666669,Ex_DACH2_ADAMTS5,0.0011490941,True,e,True,False
CR158ee290a-5881,16174.839999999998,11323.058636363638,Inh_OB_CPA6,0.0060047335,True,outside,False,False
CR158ee290a-5882,15320.199,11322.744,Inh_OB_CPA6,0.0035369643,True,outside,False,False
CR158ee290a-5883,4023.9495,11926.3445,Ex_DACH2_ADAMTS5,0.00073969364,True,outside,False,False
CR158ee290a-5884,10835.269411764706,7125.483529411765,Ex_DACH2_ADAMTS5,0.0007335157,True,mvl,False,True
CR158ee290a-5885,21727.383846153847,10471.343846153846,Ex_DACH2_NR4A3,0.0033461207,True,outside,False,False
CR158ee290a-5886,30027.42857142857,6424.833333333333,Ex_SATB2_OVOA,0.0018302456,True,outside,False,False
CR158ee290a-5887,29321.083125,10778.773125,Ex_SATB2_ZNF385B,0.0017616394,True,outside,False,False
CR158ee290a-5888,13869.671176470589,4767.517647058824,Ex_KIAA1217,0.0011568632,True,mvl,False,True
CR158ee290a-5889,15516.867777777778,10275.994444444445,Ex_SATB2_OVOA,0.00069171854,True,outside,False,False
CR158ee290a-589,20621.39416666667,17886.24,Inh_MGE_like_SST_SLC24A2,0.00237248,True,outside,False,False
CR158ee290a-5890,22027.93,9680.127777777778,Ex_SATB2_FOXP2,0.002752805,True,outside,False,False
CR158ee290a-5891,11767.70125,15775.125,Ex_DACH2_CEMIP,0.0028408023,True,e,True,False
CR158ee290a-5892,27282.765172413798,12778.673793103448,Ex_DACH2_ITGA9,0.002234547,True,outside,False,False
CR158ee290a-5893,28382.53136363636,12214.647727272728,Ex_BCL6,0.0027583991,True,outside,False,False
CR158ee290a-5894,21178.176363636365,16583.899999999998,Ex_DACH2_ADAMTS5,0.00043371052,True,outside,False,False
CR158ee290a-5895,23062.07222222222,18079.880555555555,Ex_DACH2_ZMAT4,0.0008066095,True,outside,False,False
CR158ee290a-5896,10877.92,17021.39782608696,Inh_LGE_like_FOXP2,0.0015606915,True,e,True,False
CR158ee290a-5897,24431.334285714285,17177.831428571426,Ex_SATB2_OVOA,0.0018604448,True,outside,False,False
CR158ee290a-5898,8422.354285714286,7923.714285714285,Ex_DACH2_NR4A3,0.005022545,True,outside,False,False
CR158ee290a-5899,26715.478666666662,4115.17,Inh_MGE_like_SST_PVALB,0.0009355487,True,outside,False,False
CR158ee290a-59,25324.741818181818,16223.463636363636,Ex_SATB2_ZNF385B,0.0018278809,True,outside,False,False
CR158ee290a-590,12521.320526315789,20676.28947368421,Inh_LGE_like_FOXP1_DGKH,0.0015670478,True,outside,False,False
CR158ee290a-5900,4473.041111111112,6574.264444444444,Ex_DACH2_ADAMTS5,0.0010931218,True,outside,False,False
CR158ee290a-5901,10183.103636363636,6776.533636363635,Ex_SATB2_ZNF385B,0.002050099,True,mvl,False,True
CR158ee290a-5902,6374.791538461538,12323.832307692306,Inh_MGE_like_SST_ABI3BP,0.004339347,True,e,True,False
CR158ee290a-5903,13716.2175,25271.961874999997,Inh_LGE_like_FOXP1_DGKH,0.0011365971,True,outside,False,False
CR158ee290a-5904,17132.472222222223,19288.489444444444,Ex_DACH2_RORB,0.0016970842,True,outside,False,False
CR158ee290a-5905,9825.78,15469.1435,Ex_KIAA1217,0.0007415446,True,e,True,False
